Title,Price,Original Price,Discount,Stock,Delivery,Link
"Samsung Galaxy S25 Ultra 5G ( 12/256 12/512 12/1Tera  ) Garansi Resmi Sein - S25Ultra 12/256 Black, No Bonus",Rp17.599.000,N/A,N/A,Stok: 13,Dikirim dari Kota Administrasi Jakarta Selatan,https://www.tokopedia.com/ini-toko-budi-shop/samsung-galaxy-s25-ultra-5g-12-256-12-512-12-1tera-garansi-resmi-sein-1731137082270516711?extParam=ivf%3Dfalse%26keyword%3Dsamsung%26search_id%3D202504250847225982E089C58468025LWT%26src%3Dsearch
"UGREEN Kabel Data Fast Charging USB Micro QC 3.0 Samsung Android Cable Data - Rubber Black, 1m",Rp28.000,Rp53.900,48%,Stok: 44,Dikirim dari Kota Administrasi Jakarta Barat,https://www.tokopedia.com/ugreen-indonesia-by-unitag/ugreen-kabel-data-fast-charging-usb-micro-qc-3-0-samsung-android-cable-data-rubber-black-1m-6c07f?extParam=ivf%3Dfalse%26keyword%3Dsamsung%26search_id%3D202504250847225982E089C58468025LWT%26src%3Dsearch
Samsung Galaxy Tab S9 FE Wifi 6/128GB - Gray,Rp5.495.000,Rp6.499.000,15%,Stok Total: Sisa 3,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/h2samsung/samsung-galaxy-tab-s9-fe-wifi-6-128gb-gray?extParam=ivf%3Dfalse%26keyword%3Dsamsung%26search_id%3D202504250847225982E089C58468025LWT%26src%3Dsearch
CASING CLEAR CRYSTAL CASE SAMSUNG S20 S20PLUS S20ULTRA PLUS ULTRA SOFT - SAM S20,Rp65.000,Rp120.000,46%,Stok: 960,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/central168/casing-clear-crystal-case-samsung-s20-s20plus-s20ultra-plus-ultra-soft-sam-s20?extParam=ivf%3Dtrue%26keyword%3Dsamsung%26search_id%3D202504250847225982E089C58468025LWT%26src%3Dsearch
Samsung Galaxy A06 6/128GB - | Baterai 6.000 mAh | 25W Fast Charging - Blue Black,Rp1.949.000,Rp1.999.000,3%,Stok: 90,Dikirim dari Kota Administrasi Jakarta Utara,https://www.tokopedia.com/samsung/samsung-galaxy-a06-6-128gb-baterai-5-000-mah-25w-fast-charging-1730833808619571163?extParam=ivf%3Dfalse%26keyword%3Dsamsung&src=topads
Samsung Galaxy A36 5G 12/256 GB [Upgrade dari 8/256 GB] - Awesome Black,Rp5.449.000,Rp6.199.000,12%,Stok Total: 64,Dikirim dari Kab. Tangerang,https://www.tokopedia.com/samsungexclusivestore/samsung-galaxy-a36-5g-12-256-gb-upgrade-dari-8-256-gb-awesome-black-1730934879390762567?extParam=ivf%3Dfalse%26keyword%3Dsamsung&src=topads
Samsung Galaxy Tab A9+ Wifi 4GB/64GB - tab A9+ Wifi,Rp2.799.000,Rp3.499.000,20%,Stok: 55,Dikirim dari Kota Administrasi Jakarta Utara,https://www.tokopedia.com/samsung/samsung-galaxy-tab-a9-wifi-4gb-64gb-1730779773736093677?extParam=ivf%3Dfalse%26keyword%3Dsamsung&src=topads
Samsung Galaxy A36 5G 12/256 GB [Upgrade dari 8/256 GB] - Awesome Lime,Rp5.449.000,Rp6.199.000,12%,Stok Total: 75,Dikirim dari Kab. Tangerang,https://www.tokopedia.com/samsungexclusivestore/samsung-galaxy-a36-5g-12-256-gb-upgrade-dari-8-256-gb-awesome-lime-1730934879678137927?extParam=ivf%3Dfalse%26keyword%3Dsamsung&src=topads
Samsung Galaxy A55 5G 12/256GB - Navy,Rp6.399.000,Rp6.899.000,7%,Stok: Sisa 9,Dikirim dari Kota Administrasi Jakarta Utara,https://www.tokopedia.com/samsung/samsung-galaxy-a55-5g-12-256gb-navy-621b2?extParam=ivf%3Dfalse%26keyword%3Dsamsung&src=topads
SAMSUNG Galaxy Buds 3 Pro / Buds3 Pro Original Garansi Resmi SEIN - Silver,Rp2.075.000,N/A,N/A,Stok: Sisa 2,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/anj8ng/samsung-galaxy-buds-3-pro-buds3-pro-original-garansi-resmi-sein-1730794268256929075?extParam=ivf%3Dfalse%26keyword%3Dsamsung%26search_id%3D202504250847225982E089C58468025LWT%26src%3Dsearch
"Samsung Galaxy Buds3 Buds 3 Pro Resmi SEIN - Buds 3, Silver",Rp1.475.000,Rp2.299.000,36%,Stok: Sisa 2,Dikirim dari Kota Tangerang,https://www.tokopedia.com/myfon-teleshop/samsung-galaxy-buds3-buds-3-pro-resmi-sein-1730749655009232866?extParam=ivf%3Dfalse%26keyword%3Dsamsung%26search_id%3D202504250847225982E089C58468025LWT%26src%3Dsearch
Samsung AKG Type-C Earphones Original USB-C S21 Ultra S20 Note 20 10 - Black,Rp310.000,Rp325.000,5%,Stok: 930,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/bestdealofficial/samsung-akg-type-c-earphones-original-usb-c-s21-ultra-s20-note-20-10-black-f945e?extParam=ivf%3Dfalse%26keyword%3Dsamsung%26search_id%3D202504250847225982E089C58468025LWT%26src%3Dsearch
