Title;Price;Original Price;Discount;Stock;Delivery
Compressor Copeland ZR45KCE / ZR45KCE-TFD-522 3,5PK R407C 380V;Rp3.450.000;N/A;N/A;Stok Total: Sisa 5;Dikirim dari Kota Administrasi Jakarta Barat
Electrolux Air Fryer E5AF1-600P / E5AF1 600P;Rp1.310.000;Rp1.580.000;17%;Stok Total: 50;Dikirim dari Jakarta Utara
Compressor Danfoss Piston MTZ125 / MTZ125HU4VE 10PK R404 380V;Rp10.200.000;N/A;N/A;Stok Total: Sisa 3;Dikirim dari Kota Administrasi Jakarta Barat
LED VIDEOTRON INDOOR P1.83/ LED SCREEN VIDEOTRON / 2 TAHUN GARANSI;Rp15.999.999;Rp23.000.000;30%;Stok Total: 87;Dikirim dari Kab. Tangerang
Compressor Danfoss MTZ36 / MTZ36JG4BVE 3PK R404 380V;Rp5.500.000;N/A;N/A;Stok Total: Sisa 5;Dikirim dari Kota Administrasi Jakarta Barat
Pompa Air Galon Elektronik Otomatis WDP 301;Rp47.824;N/A;N/A;Stok Total: Sisa 1;Dikirim dari Kab. Bantul
Kunci Pintu Elektronik Digital Anti Maling dengan Password;Rp340.000;N/A;N/A;Stok Total: 46;Dikirim dari Jakarta Barat
Contact Cleaner Standard Cleaner Cairan Pembersih elektronik WD 40 WD4 - Standard;Rp32.000;N/A;N/A;Stok: 13;Dikirim dari Kota Pontianak
AQUA Elektronik AQR-D205 Kulkas 1 Pintu 165 L - AQR-D205 (MDS/MLS);Rp2.489.000;Rp2.499.000;1%;Stok Total: 13;Dikirim dari Kota Administrasi Jakarta Utara
KAMUS ELEKTRONIK CHINA JAPAN MANDARIN NOAH NT500;Rp175.000;N/A;N/A;Stok Total: Sisa 1;Dikirim dari Kota Depok
GREE AC Split Inverter R32 1.5 PK GWC-12F5-S Smart Clean GWC-12F5S - Tanpa Pasang, AC Saja;Rp5.999.000;N/A;N/A;Stok: Sisa 3;Dikirim dari Jakarta Utara
COMPRESSOR DANFOSS MT22JC4AVE 3PHASE;Rp5.215.000;N/A;N/A;Stok Total: Sisa 3;Dikirim dari Kota Administrasi Jakarta Barat
KOMPRESSOR/COMPRESSOR DANFOSS MTZ18/MTZ18JA5AVE 1 1/2PK R404A 1PHASE;Rp5.200.000;N/A;N/A;Stok Total: Sisa 5;Dikirim dari Jakarta Barat
